periodo_contable,tipo_indicador,nombre_campo,total_registros,cantidad_mala,porcentaje,es_total
202509,completitud,CEDIDAS_AS400 · 510305 · AA,5749,0,100.0,False
202509,completitud,CEDIDAS_IAXIS · 410305 · AL,565,0,100.0,False
202509,completitud,CEDIDAS_IAXIS · 510305 · AL,62450,0,100.0,False
202509,completitud,CEDIDAS_TERREMOTO · 263005 · AA,125233,0,100.0,False
202509,completitud,CEDIDAS_TERREMOTO · 263005 · AL,43469,0,100.0,False
202509,completitud,CEDIDAS_TERREMOTO · 410305 · AA,69941,0,100.0,False
202509,completitud,CEDIDAS_TERREMOTO · 410305 · AL,13709,0,100.0,False
202509,completitud,CEDIDAS_TERREMOTO · 510305 · AA,55292,0,100.0,False
202509,completitud,CEDIDAS_TERREMOTO · 510305 · AL,29760,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 410305 · AA,45221,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 410305 · AL,2618366,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 410310 · AA,5392,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 410310 · AL,383906,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 410315 · AL,42980,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 510305 · AA,309590,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 510305 · AL,11937948,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 510310 · AA,69279,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 510310 · AL,2296970,0,100.0,False
202509,completitud,DIRECTA_IAXIS · 510315 · AL,78044,0,100.0,False
202509,completitud,TOTAL_PERIODO,18197293,0,100.0,True
202509,disponibilidad,disponibilidad_carga,20,0,100.0,True
202509,disponibilidad,frescura_carga,4,0,100.0,True
202509,disponibilidad,valores_en_cero,18197293,38973,99.79,True
202509,validez,CEDIDAS_AS400 · 410305 · AA,3429,0,100.0,False
202509,validez,CEDIDAS_AS400 · 510305 · AA,5749,0,100.0,False
202509,validez,CEDIDAS_IAXIS · 410305 · AL,565,0,100.0,False
202509,validez,CEDIDAS_IAXIS · 510305 · AL,62450,0,100.0,False
202509,validez,CEDIDAS_TERREMOTO · 263005 · AA,125233,0,100.0,False
202509,validez,CEDIDAS_TERREMOTO · 263005 · AL,43469,0,100.0,False
202509,validez,CEDIDAS_TERREMOTO · 410305 · AA,69941,0,100.0,False
202509,validez,CEDIDAS_TERREMOTO · 410305 · AL,13709,0,100.0,False
202509,validez,CEDIDAS_TERREMOTO · 510305 · AA,55292,0,100.0,False
202509,validez,CEDIDAS_TERREMOTO · 510305 · AL,29760,0,100.0,False
202509,validez,DIRECTA_IAXIS · 410305 · AA,45221,0,100.0,False
202509,validez,DIRECTA_IAXIS · 410305 · AL,2618366,0,100.0,False
202509,validez,DIRECTA_IAXIS · 410310 · AA,5392,0,100.0,False
202509,validez,DIRECTA_IAXIS · 410310 · AL,383906,0,100.0,False
202509,validez,DIRECTA_IAXIS · 410315 · AL,42980,0,100.0,False
202509,validez,DIRECTA_IAXIS · 510305 · AA,309590,0,100.0,False
202509,validez,DIRECTA_IAXIS · 510305 · AL,11937948,0,100.0,False
202509,validez,DIRECTA_IAXIS · 510310 · AA,69279,0,100.0,False
202509,validez,DIRECTA_IAXIS · 510310 · AL,2296970,0,100.0,False
202509,validez,DIRECTA_IAXIS · 510315 · AL,78044,0,100.0,False
202509,validez,TOTAL_PERIODO,18197293,0,100.0,True
202509,variacion,CEDIDAS_AS400 · 410305 · AA,3429,0,90.07,False
202509,variacion,CEDIDAS_AS400 · 510305 · AA,5749,0,89.89,False
202509,variacion,CEDIDAS_IAXIS · 410305 · AL,565,0,83.85,False
